"geo_id","geo_type","hu","pc_own","tot_pop","pc_un5","pc_un18","pc_ov64","pc_wht","pc_afrm","pc_asn","pc_othm","pc_hisp","hh","fam","pc_fmwc","pc_fhwc","acres","du_cty","du_cmps","prd_viol","foreclsr","asst_unts","avg_huval","sqft_val","avg_n_hval","sqft_n_val","avg_c_hval","sqft_c_val","yrblt_mdn","mdn_rent","qol_cfs","ofns_pers","ofns_prop","ofns_scty","crash","prmry_ems","prmry_fire","pc_nvterm","pc_nappr","pc_nprf35","pc_nhsg","pc_nclgg","pc_hmbl","pc_frlu","pc_lep_hh","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","pc_fmpv","pc_unem","gds_svcs","pc_n_trst","trst_trps","pc_no_vhcl","pc_alt_trn","avg_stcnd"
"550250019013","Census block group","694","20.8","1203","4","11.8","5.8","75.9","10","1.7","5.7","6.8","668","167","12.4","5.2","119","709","0","50","-5","167","416838","329.58","366494","299.84","284968","324.28","-5","1581","87","22","52","112","49","302","193","-1","-1","81.2","10.9","72.7","15.4","85.5","0","5","305","46","60795","0","20.6","B,G","0","2759","14.1","60.4","6.9"
"550250019014","Census block group","562","23.8","987","1.5","5.8","9.1","81.9","5","2.4","7.1","3.6","536","129","7.6",".9","77.5","562","0","27","-5","23","755870","333.42","523067","298.36","381299","355.19","-5","1250","48","16","44","108","29","178","156","-1","-1","-1","0","20.9","15.8","33.4","3.9","3","168","0","77401","0","2.3","B,G","2","2759","2.5","42.1","6.8"
"550250019021","Census block group","636","61.3","1176","2.8","12.9","17.3","86.7","2.4","2.3","4.5","4.1","608","281","15","1.2","81.3","651","0","5","-5","0","568938","365.43","507304","355.02","336663","329.45","-5","1700","21","7","21","20","12","89","77","-1","-1","5.6","0","9.2","2.7","11.4","0","2","120","36","139365","0","1.7","B,G","26","935","3.6","32","7"
"550250019022","Census block group","1035","27.3","1629","2.5","8.5","11.7","82.1","3.1","3.6","6.3","5","1000","291","9.9","3.2","90.3","1171","0","15","-5","37","402416","289.59","377470","275.45","336197","329.27","-5","1558","35","7","36","30","35","423","149","-1","-1","7.7","10","26.7","0","25","0","5","281","85","86172","0","2.1","B,G","1.8","2644","6","42.4","7.1"
"550250022002","Census block group","729","62","1367","4.2","14.6","13.7","73.7","9.4","2.3","5.9","8.8","687","295","17.2","4.2","156.7","797","0","22","-5","8","269847","235.69","245740","245.18","178500","145.2","-5","1104","69","34","49","118","31","272","134","-1","-1","54.2","6","55.4","15.9","67.9","0","3","171","114","52125","0","3.3","P,B,G","16.6","1415","16.2","25.2","7.4"
"550250022003","Census block group","985","48.2","1760","6.4","17.6","22","66.6","18.2","2.3","6.6","6.4","925","367","15.8","3.6","172.2","985","0","11","-5","116","325146","200.09","298764","203.32","196326","165.43","-5","1175","97","35","45","144","11","273","160","12.9","24.3","62.5","12.2","64.7","11.9","72","0","2","68","70","58905","3.2","4.7","P,B,G","23.6","568","13.1","28.7","7.4"
"550250023011","Census block group","790","35.6","2043","9.2","35","8","33.7","35.8","9.2","7.8","13.5","755","481","41.7","20.4","198.9","777","0","12","-5","362","292206","209.01","257066","206.1","-5","-5","-5","1280","192","62","72","202","33","344","254","18.6","21.6","83.7","12.3","87","12","90.5","2.5","6","212","49","60234","18","8.4","B,G","5.5","1064","24.1","26.9","7.7"
"550250023012","Census block group","483","85.9","1145","3.4","16.4","25.5","72.5","8.9","4.7","6.5","7.4","461","302","18.2","2.2","406.9","487","0","7","-5","7","498175","236.73","539632","267.68","173017","189.23","-5","1572","36","10","17","40","41","264","186","-1","-1","55.6","7","53.1","7.1","63.4","0","6","159","7","106250","3.8","3.9","P,B,G","37.6","1646","8.3","15.1","7.2"
"550250023021","Census block group","439","70.7","1468","4.5","14.6","15.9","70.8","15.4","4.8","4.7","4.4","416","285","24.3","4.6","639.6","443","0","5","-5","17","448873","210.38","471785","217.17","189227","143.9","-5","1185","73","32","25","79","8","301","153","-1","-1","50","0","38.5","9.7","35","0","5","172","49","104750","0","1.4","B","16.3","643","1.7","15.3","6.7"
"550250024011","Census block group","464","93.2","1109","4.4","18.2","17.2","80.4","6.2","1.5","7.5","4.3","455","304","23.1","2","152.9","464","0","15","-5","0","317848","208.76","302958","210.19","-5","-5","-5","-5","8","5","10","17","4","93","67","-1","-1","52.4","1.2","44.6","5.9","44","0","2","54","49","90795","0","0","None","54.7","96","4.2","5.7","7.5"
