"geo_id","geo_type","hu","pc_own","tot_pop","pc_un5","pc_un18","pc_ov64","pc_wht","pc_afrm","pc_asn","pc_othm","pc_hisp","hh","fam","pc_fmwc","pc_fhwc","acres","du_cty","du_cmps","prd_viol","foreclsr","asst_unts","avg_huval","sqft_val","avg_n_hval","sqft_n_val","avg_c_hval","sqft_c_val","yrblt_mdn","mdn_rent","qol_cfs","ofns_pers","ofns_prop","ofns_scty","crash","prmry_ems","prmry_fire","pc_nvterm","pc_nappr","pc_nprf35","pc_nhsg","pc_nclgg","pc_hmbl","pc_frlu","pc_lep_hh","cc_prvdrs","cc_cpcty","cc_enrlmt","medhhinc","pc_fmpv","pc_unem","gds_svcs","pc_n_trst","trst_trps","pc_no_vhcl","pc_alt_trn","avg_stcnd"
"55025001300","Census tract","1465","42.8","2395","4.8","15.1","15.3","80.3","4.3","3","6.6","5.8","1315","492","15.5","1.4","365.2","1883","0","18","-5","333","453101","291.43","387237","301.42","-5","-5","-5","1230","151","33","127","167","54","450","280","10.2","20.3","26.5","0","13","6.5","23","3.4","6","312","197","108500","13.2","4.6","P,B,G","7.4","1330","8.1","30.4","6.3"
"55025001401","Census tract","2749","19.5","6037","6.2","23.5","7.8","31.4","16.4","13.8","5.5","32.9","2652","1113","21.6","6.3","1030.5","2726","0","20","-5","262","258828","193.06","247031","196.13","131814","147.06","-5","1145","399","108","241","369","117","588","491","7.4","27.9","83.1","28.2","85.5","10.9","85.6","17.7","11","539","265","49959","27.7",".2","P,B,G","8.5","2342","4.3","26.1","7.1"
"55025001402","Census tract","2061","35.2","4436","6","21.1","11.7","53.8","18.9","4.9","6.1","16.3","1974","997","24","7.8","1840.7","2071","0","25","-5","116","505185","199.66","442904","188.43","182439","166.62","-5","1114","271","68","138","258","105","544","390","8.5","25","65.1","13.9","70.1","9.4","67.9","5.3","18","674","430","71429","11","1.5","P,B,G","28.2","2413","5.5","28.7","7.1"
"55025001501","Census tract","1067","43","2222","6.5","21.5","14.1","55.3","14.7","3.5","6.3","20.2","1014","525","24.3","8.6","252.8","1086","0","3","-5","123","687120","319.24","675649","330.42","229300","182.98","-5","1320","87","22","35","97","16","232","119","16.5","31.9","89.6","18.1","84.2","9.9","83.2",".7","4","217","125","69231","3.9","2.9","P,B","39.9","510","6.6","19.7","7.7"
"55025001502","Census tract","1748","58.1","4070","6","23.5","9.7","42.4","16.1","5.3","6.3","29.9","1666","905","28.8","8.2","1280.3","1810","0","28","-5","201","333487","206.77","327114","211.69","169449","172.29","-5","-5","170","63","86","204","51","436","264","10.2","22.4","79.7","14.9","82.8","7.5","78.1","-5","10","379","136","-5","-5","-5","B","14.5","714","-5","-5","7.2"
"55025001603","Census tract","2913",".1","6732","5.2","12.5",".4","60.7","1.5","26.1","5.5","6.2","2824","402","10.6","4","43.4","2874","0","32","-5","0","-5","-5","438125","310.67","-5","-5","-5","1393","341","96","178","531","96","646","667","-1","-1","-1","-1","-1","-1","-1","2.9","0","0","0","11882","100","6.9","P,B,G","0","4771","65.5","80","7.1"
"55025001604","Census tract","2708","1.1","6587","1.8","4.3","1.3","74.4","2","11.1","5.4","7.2","2518","229","3.9","1.7","67.8","2757","953","51","-5","0","579450","179.62","689771","196.78","284313","340.75","-5","1308","357","93","256","540","77","556","644","-1","-1","-1","-1","-1","-1","-1","1.7","0","0","0","22642","24.1","6.7","P,B,G","7.3","4213","59","77.3","7.4"
"55025001605","Census tract","2176","7.3","3324","1.3","3.6","4.8","76","3","9.3","5.4","6.3","2099","267","2.4",".7","87.3","2157","0","18","-5","95","498333","230.04","397827","265.49","443393","345.25","-5","1435","87","29","102","105","68","233","186","-1","-1","-1","-1","-1","-1","-1","1.6","2","12","9","51140","0","1.3","P,B,G","9.1","1651","33.5","57.5","6.6"
"55025001606","Census tract","2075",".5","7513","1.4","3.4",".2","72.6","2.8","12.9","5.2","6.5","1968","216","3.7","1.3","104.2","2499","1944","30","-5","0","-5","-5","439076","291.68","-5","-5","-5","1604","70","14","105","106","90","465","524","-1","-1","-1","-1","-1","-1","-1","5.6","3","92","9","26342","0","4.7","P,B,G","0","4088","42.4","59.6","7.3"
"55025001704","Census tract","2509","23.9","4154","1.1","2.7","19.3","76.1","8","7.8","3.9","4.2","2305","476","2.6",".6","104.3","2582","0","36","-5","200","517600","283.77","343400","250.57","522538","393.89","-5","1423","457","84","193","629","87","1310","849","-1","-1","-1","-1","-1","-1","-1","0","1","150","121","48036","9.1","2.2","P,B,G","0","4402","25.8","51.4","7.6"
